Official name of position,internal disk name,internal naming per Disk,Module,flex cable,HubID,PC position phi,PC position Mirror,PC port,PC identifier,PC name,DCDC,DCDC J11/J12,DCDC channel,DCDC name,Filterboard DCS,Filterboard module power,POH board,POH Bundle,POH SN,DOH bundle,DOH QR,DOH A/B,CCU,channel,PP0 Adapter/FED,PP0 Ad.Slot/FED,PP0 Adapter/FEC,PP0 Ad.Slot/FEC,internal POH no,POH fiber color,FED channel,FED position,FED receiver,FED ID,FEC/FED crate,FEC ID,FEC position,mfec,mfecchannel,,,,,,,
FPix_BmI_D2_BLD1_PNL2_RNG1,HC1-Disk2-Inner,1T,M-I-4-45,9034,15,2Ta,2TA,6,PR128,,PB-33,J12,4,,,CI-A 005,FP23,1,SN122498/0045,9,30201210004686,A,0x7b,0x11,-z up left 3,1,-z up left 2,3,1,black-8,15/16,1,t,1294,down center,,9,2,1,BmI,,,,,,
FPix_BmI_D2_BLD2_PNL2_RNG1,,2T,M-I-4-46,9030,14,2Ta,2TA,4,PR128,,PB-33,J12,4,,,CI-A 005,FP23,2,SN122498/0041,9,30201210004686,A,0x7b,0x11,-z up left 3,2,-z up left 2,3,2,black-8,39/40,1,b,1294,down center,,9,2,1,,,,,,,
FPix_BmI_D2_BLD3_PNL2_RNG1,,3T,M-I-4-47,9029,13,2Ta,2TA,2,PR128,,PB-33,J12,4,,,CI-A 005,FP23,3,SN122498/0046,9,30201210004686,A,0x7b,0x11,-z up left 3,3,-z up left 2,3,3,black-8,15/16,2,t,1295,down center,,9,2,1,,,,,,,
FPix_BmI_D2_BLD4_PNL2_RNG1,,4T,M-L-4-05,9050,15,2Tb,2TB,6,PR116,,PB-47,J12,4,,,CI-A 004,P37,5,SN122498/0028,9,30201210004686,B,0x7c,0x11,-z up left 4,1,-z up left 2,3,5,white-6,11/12,3,t,1296,down center,,9,2,2,,,,,,,
FPix_BmI_D2_BLD5_PNL2_RNG1,,5T,M-J-1-20,9014,14,2Tb,2TB,2,PR116,,PB-47,J12,4,,,CI-A 004,P37,7,SN122498/0044,9,30201210004686,B,0x7c,0x11,-z up left 4,3,-z up left 2,3,7,white-6,11/12,4,t,1297,down center,,9,2,2,,,,,,,
FPix_BmI_D2_BLD6_PNL2_RNG1,,6T,M-J-1-23,9017,15,2Tc,2TC,6,PR130,,PB-14,J12,4,,,CI-A 009,FP21,12,SN122498/0035,15,30201210004633,A,0x7e,0x11,-z down left 4,4,-z down left 2,3,8,black-8,39/40,4,b,1297,down center,,10,2,1,,,,,,,
FPix_BmI_D2_BLD7_PNL2_RNG1,,7T,M-J-3-05,9019,14,2Tc,2TC,4,PR130,,PB-14,J12,4,,,CI-A 009,FP21,13,SN122498/0039,15,30201210004633,A,0x7e,0x11,-z down left 4,3,-z down left 2,3,9,black-8,15/16,5,t,1298,down center,,10,2,1,,,,,,,
FPix_BmI_D2_BLD8_PNL2_RNG1,,8T,M-J-3-18,9003,13,2Tc,2TC,2,PR130,,PB-14,J12,4,,,CI-A 009,FP21,18,SN122498/0027,15,30201210004633,A,0x7e,0x11,-z down left 4,2,-z down left 2,3,10,black-8,39/40,5,b,1298,down center,,10,2,1,,,,,,,
FPix_BmI_D2_BLD9_PNL2_RNG1,,9T,M-J-3-24,9001,15,2Td,2TD,6,PR127,,PB-22,J12,4,,,CI-A 016,P31,20,SN122498/0052,15,30201210004633,B,0x7d,0x11,-z down left 3,3,-z down left 2,3,12,white-6,35/36,6,b,1299,down center,,10,2,2,,,,,,,
FPix_BmI_D2_BLD10_PNL2_RNG1,,10T,M-J-4-09,9036,14,2Td,2TD,4,PR127,,PB-22,J12,4,,,CI-A 016,P31,21,SN122498/0051,15,30201210004633,B,0x7d,0x11,-z down left 3,2,-z down left 2,3,13,white-6,11/12,7,t,1300,down center,,10,2,2,,,,,,,
FPix_BmI_D2_BLD11_PNL2_RNG1,,11T,M-J-4-10,9008,13,2Td,2TD,2,PR127,,PB-22,J12,4,,,CI-A 016,P31,22,SN122498/0081,15,30201210004633,B,0x7d,0x11,-z down left 3,1,-z down left 2,3,14,white-6,35/36,7,b,1300,down center,,10,2,2,,,,,,,
FPix_BmI_D2_BLD1_PNL1_RNG1,,1B,M-K-1-48,9043,10,2Ba,2BA,6,PR028,,PB-33,J11,2,,,CI-A 005,P36,1,SN122498/0045,9,30201210004686,A,0x7b,0x11,-z up left 3,1,-z up left 2,3,1,red-7,13/14,1,t,1294,down center,,9,2,1,,,,,,,
FPix_BmI_D2_BLD2_PNL1_RNG1,,2B,M-K-1-39,9059,11,2Ba,2BA,4,PR028,,PB-33,J11,2,,,CI-A 005,P36,2,SN122498/0041,9,30201210004686,A,0x7b,0x11,-z up left 3,2,-z up left 2,3,2,red-7,37/38,1,b,1294,down center,,9,2,1,,,,,,,
